gsc_impressions,gsc_avg_position,gsc_clicks,reason_code,reason_description,action_rank,content_archetype,operational_workflow,decay_half_life_days,refresh_trigger
7052,4.375070901871809,16,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,55,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
6912,3.4768518518518516,21,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,56,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
6892,10.337057457922228,0,LOW_YIELD_ARCHIVE,Low projected return; defer or archive content piece.,57,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
6873,3.9131383675250984,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,58,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
6857,2.7751203150065624,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,59,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
6852,2.4995621716287215,27,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,60,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
6806,2.715104319717896,91,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,61,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
6803,3.561222989857416,21,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,62,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
6726,2.3247100802854592,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,63,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
6690,3.2593423019431986,19,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,64,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
6647,29.459304949601325,11,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,65,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
6624,4.295893719806763,10,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,66,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
6597,3.6149765044717297,24,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,67,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
6590,2.896206373292868,40,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,68,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
6441,3.4455829840086944,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,69,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
6396,34.61522826766729,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,70,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
6382,3.046380445001567,43,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,71,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
6382,4.942337825133187,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,72,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
6377,4.0660185039987455,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,73,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
6364,3.0179132620993085,20,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,74,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
6220,6.231672025723473,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,75,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
6196,2.816010329244674,42,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,76,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
6094,3.8634722678043976,14,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,77,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
6024,32.0265604249668,4,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,78,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
6021,4.813320046503903,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,79,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
6005,2.987676935886761,19,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,80,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5992,3.061415220293725,16,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,81,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5984,19.3201871657754,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,82,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5980,13.557190635451505,17,COMPLIANCE_FLAG,Irregular traffic pattern detected; requires human editorial review.,83,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
5899,3.6287506357009662,39,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,84,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5851,3.426935566569817,95,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,85,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5822,7.719855719683958,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,86,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5798,5.440669196274578,51,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,87,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5790,2.2972366148531953,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,88,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
5758,3.1827023271969432,41,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,89,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5747,4.6506003132068905,23,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,90,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5746,3.183954054994779,36,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,91,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5733,3.170765742194314,13,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,92,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5727,11.70717653221582,5,COMPLIANCE_FLAG,Irregular traffic pattern detected; requires human editorial review.,93,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5719,2.3254065396048262,37,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,94,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5706,2.779179810725552,24,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,95,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5696,16.21769662921348,22,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,96,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5678,3.825995068686157,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,97,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5675,14.702555066079295,2,LOW_YIELD_ARCHIVE,Low projected return; defer or archive content piece.,98,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5674,3.751145576313007,66,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,99,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5671,4.965614530065245,9,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,100,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
5652,4.822009907997169,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,101,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5621,3.5714285714285716,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,102,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5601,4.770933761828245,10,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,103,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5576,25.624282639885223,3,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,104,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5507,2.7771926638823317,28,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,105,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5507,4.1525331396404574,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,106,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5497,30.844460614880845,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,107,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5478,24.674516246805403,6,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,108,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5456,4.9470307917888565,10,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,109,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5455,2.524839596700275,42,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,110,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5430,29.75009208103131,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,111,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5409,3.1852468108707708,15,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,112,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5400,2.5935185185185183,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,113,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5364,2.8722967934377333,94,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,114,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5364,89.8482475764355,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,115,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5347,35.69384701701889,4,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,116,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5327,4.109442462924723,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,117,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
5326,31.26323695080736,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,118,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5320,1.9757518796992481,76,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,119,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5303,5.494625683575335,18,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,120,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
5270,4.683301707779886,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,121,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5260,2.9159695817490494,70,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,122,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
5246,30.26572626763248,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,123,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5204,2.8848962336664106,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,124,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
5186,3.6120323949093716,18,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,125,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
5181,2.6448562053657594,21,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,126,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
5137,2.304457854779054,40,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,127,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
5128,5.599063962558502,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,128,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
